"Date","URM","LRM","Distance","Year"
"580",2010-10-07,76.5,74,2.5,2010
"581",2010-10-07,158,152.5,5.5,2010
"582",2010-10-08,159.5,152.5,7,2010
"583",2010-10-09,74,74,0,2010
"584",2010-10-09,159.5,152.5,7,2010
"585",2010-06-28,84,74,10,2010
"586",2010-07-11,79.5,74,5.5,2010
"587",2010-07-12,77.5,74,3.5,2010
"588",2010-07-13,79,74,5,2010
"589",2010-07-14,81.5,74,7.5,2010
"590",2010-07-15,83.5,74,9.5,2010
"591",2010-07-16,83.5,74,9.5,2010
"592",2010-07-17,85,74,11,2010
"593",2010-07-18,86.5,74,12.5,2010
"594",2010-07-19,89,74,15,2010
"595",2010-07-20,90,74,16,2010
"596",2010-07-21,84.5,74,10.5,2010
"597",2010-07-22,90,74,16,2010
"598",2010-07-23,74,74,0,2010
"599",2010-07-24,79,74,5,2010
"600",2010-08-14,155,154,1,2010
"601",2010-08-15,155.5,154,1.5,2010
"602",2010-08-16,155.5,153.5,2,2010
"603",2010-08-21,155,154,1,2010
"604",2010-08-22,155.5,153.5,2,2010
"605",2010-08-23,156,152.5,3.5,2010
"606",2010-08-27,155.5,153,2.5,2010
"607",2010-08-28,156,152.5,3.5,2010
"608",2010-08-29,156.5,152.5,4,2010
"609",2010-08-30,78.5,74,4.5,2010
"610",2010-08-30,157,152.5,4.5,2010
"611",2010-08-31,81,74,7,2010
